indice_tiempo,ventas_precios_constantes
01/01/2017,27477.3
01/02/2017,25223.4
01/03/2017,26334.3
01/04/2017,27045.9
01/05/2017,25631.9
01/06/2017,26365.4
01/07/2017,27819.4
01/08/2017,27394.1
01/09/2017,26404.3
01/10/2017,27766.7
01/11/2017,28425.3
01/01/2018,26736.7
01/02/2018,25650.7
01/03/2018,28846.7
01/04/2018,26429.5
01/05/2018,26430.5
01/06/2018,27465.9
01/07/2018,27033.4
01/08/2018,26267.3
01/09/2018,24310.8
01/10/2018,25010.5
01/11/2018,24891.7
01/01/2019,23888.7
01/02/2019,22542.0
01/03/2019,24647.7
01/04/2019,23073.8
01/05/2019,22852.1
01/06/2019,23803.4
01/07/2019,23580.1
01/08/2019,24329.9
01/09/2019,22144.7
01/10/2019,24652.7
01/11/2019,24270.7
01/12/2019,29147.9
01/01/2020,23483.3
01/02/2020,23702.0
01/03/2020,26996.7
01/04/2020,23142.7
01/05/2020,24012.7
01/06/2020,23449.5
01/08/2020,22953.0
01/09/2020,21628.0
01/10/2020,24105.8
01/11/2020,24010.7
01/12/2020,29931.1
01/01/2021,24420.0
01/02/2021,22322.6
01/03/2021,24627.6
01/04/2021,23407.5
01/05/2021,23368.4
01/06/2021,23678.0
01/07/2021,24779.5
01/08/2021,23990.1
01/09/2021,22962.0
01/10/2021,25386.7
01/11/2021,25026.6
01/02/2022,23802.1
01/03/2022,24612.4
01/04/2022,24140.5
01/05/2022,23234.2
