indice_tiempo,ventas_totales_canal_venta
01/01/2017,27858872.08
01/02/2017,25994200.17
01/03/2017,27780006.52
01/04/2017,29134272.22
01/05/2017,27969004.68
01/06/2017,29132712.74
01/07/2017,31182302.46
01/08/2017,31154880.94
01/09/2017,30521506.2
01/10/2017,32445983.01
01/11/2017,33628982.66
01/01/2018,3208.00557
01/02/2018,31736824.55
01/03/2018,36531291.33
01/04/2018,34113745.67
01/05/2018,35133146.39
01/06/2018,38338209.75
01/07/2018,39278449.96
01/08/2018,39491907.27
01/09/2018,39925549.0
01/10/2018,43420253.82
01/11/2018,44849446.01
01/01/2019,45433623.71
01/02/2019,44592144.9
01/03/2019,51065694.25
01/04/2019,49621409.28
01/05/2019,50778299.91
01/06/2019,54413419.61
01/07/2019,55044482.26
01/08/2019,59672104.46
01/09/2019,57885306.41
01/10/2019,66325579.59
01/11/2019,67943710.19
01/12/2019,83524644.29
01/01/2020,70145010.27
01/02/2020,72494433.66
01/03/2020,85778031.09
01/04/2020,75009596.64
01/05/2020,78594521.82
01/06/2020,78232859.6
01/08/2020,80411973.29
01/09/2020,77055774.36
01/10/2020,89224281.05
01/11/2020,91093507.31
01/12/2020,115806128.1
01/01/2021,98007583.25
01/02/2021,92954233.68
01/03/2021,107225884.5
01/04/2021,106870185.9
01/05/2021,110604694.6
01/06/2021,116287893.0
01/07/2021,125658552.5
01/08/2021,124840320.0
01/09/2021,123002252.4
01/10/2021,140487487.3
01/11/2021,141701960.7
01/02/2022,152202573.4
01/03/2022,168982502.3
01/04/2022,177148082.8
01/05/2022,179639238.6
